               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.041211,            0.035617,           0.0014879,             0.51199,              0.4743,             0.45856,             0.18313,            0.034909,            0.030002,          0.00086735,           0.0088364,           0.0088364,           0.0088364
                  82,            0.041177,            0.035145,             0.00147,             0.50611,             0.46566,             0.45429,             0.18315,            0.034889,             0.02999,          0.00086279,           0.0088218,           0.0088218,           0.0088218
                  83,            0.040826,            0.035158,           0.0013553,             0.52952,             0.45701,             0.45416,             0.18345,             0.03487,            0.029968,          0.00085798,           0.0088073,           0.0088073,           0.0088073
                  84,            0.041051,            0.034958,           0.0012763,             0.53402,             0.45761,             0.45311,             0.18375,            0.034849,            0.029948,          0.00085309,           0.0087927,           0.0087927,           0.0087927
                  85,             0.04104,            0.034311,           0.0013285,             0.53817,             0.45041,             0.45004,             0.18358,            0.034835,             0.02993,          0.00084679,           0.0087782,           0.0087782,           0.0087782
                  86,            0.041099,            0.036187,            0.001261,             0.51722,             0.46518,             0.45619,             0.18485,            0.034817,            0.029908,          0.00084012,           0.0087636,           0.0087636,           0.0087636
                  87,            0.040998,            0.035338,           0.0013296,             0.51335,             0.47439,             0.45836,             0.18594,            0.034804,            0.029899,          0.00083429,           0.0087491,           0.0087491,           0.0087491
                  88,            0.041124,            0.035265,           0.0012976,             0.51483,             0.47486,             0.46015,             0.18706,            0.034789,            0.029894,          0.00083185,           0.0087345,           0.0087345,           0.0087345
                  89,            0.040809,            0.035319,           0.0014551,             0.49501,             0.49501,             0.45927,             0.18679,            0.034771,            0.029867,           0.0008314,             0.00872,             0.00872,             0.00872
                  90,            0.040621,            0.035115,           0.0012465,             0.49917,             0.49421,              0.4623,             0.18802,            0.034758,            0.029858,          0.00082939,           0.0087055,           0.0087055,           0.0087055
                  91,             0.04093,             0.03499,           0.0012701,             0.49746,             0.49482,             0.46274,             0.18906,            0.034741,            0.029852,           0.0008274,           0.0086909,           0.0086909,           0.0086909
                  92,            0.040559,            0.034293,           0.0011695,             0.50245,             0.49432,             0.46549,              0.1901,            0.034723,            0.029834,          0.00082445,           0.0086764,           0.0086764,           0.0086764
                  93,            0.041059,            0.035698,           0.0011753,             0.50866,             0.50357,             0.47205,             0.19126,            0.034709,            0.029819,           0.0008216,           0.0086618,           0.0086618,           0.0086618
                  94,            0.040814,            0.034963,           0.0011661,              0.5108,             0.49939,             0.47165,               0.191,            0.034695,            0.029805,          0.00081879,           0.0086473,           0.0086473,           0.0086473
                  95,            0.041049,            0.034919,           0.0012997,              0.5214,             0.50148,             0.47464,             0.19109,             0.03468,            0.029794,          0.00081497,           0.0086327,           0.0086327,           0.0086327
                  96,            0.040903,            0.035079,           0.0012524,             0.52084,             0.49869,             0.47665,             0.19212,            0.034667,             0.02978,          0.00081157,           0.0086182,           0.0086182,           0.0086182
                  97,            0.040765,            0.034948,           0.0012328,              0.5285,             0.50094,             0.47827,             0.19251,            0.034656,            0.029779,          0.00080829,           0.0086036,           0.0086036,           0.0086036
                  98,            0.040664,            0.035277,           0.0011822,             0.53146,             0.50362,             0.48049,             0.19326,            0.034642,            0.029769,          0.00080532,           0.0085891,           0.0085891,           0.0085891
                  99,            0.040373,            0.035209,           0.0010782,             0.53827,             0.50778,             0.48289,             0.19405,            0.034629,            0.029758,          0.00080332,           0.0085745,           0.0085745,           0.0085745
                 100,            0.040723,            0.034809,           0.0012403,             0.55388,             0.49368,             0.48269,             0.19421,            0.034616,             0.02975,          0.00080116,             0.00856,             0.00856,             0.00856
