               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.022196,           0.0042419,            0.017465,             0.54401,             0.53978,             0.51879,             0.27225,            0.020508,           0.0034623,            0.018785,           0.0090971,           0.0090971,           0.0090971
                  81,            0.021493,            0.003913,            0.016762,             0.56235,             0.56232,             0.55873,             0.28653,            0.019859,           0.0035081,            0.014804,           0.0090857,           0.0090857,           0.0090857
                  82,            0.022332,           0.0041377,            0.017447,             0.58909,             0.60727,             0.60014,              0.3247,            0.019758,           0.0032406,            0.015426,           0.0090743,           0.0090743,           0.0090743
                  83,            0.022377,           0.0039802,            0.016447,             0.53289,             0.57114,             0.54929,             0.28555,            0.020213,           0.0031562,            0.018262,           0.0090629,           0.0090629,           0.0090629
                  84,            0.022031,           0.0038667,            0.017543,             0.59849,             0.54496,             0.56058,             0.28976,              0.0204,           0.0032289,            0.016901,           0.0090514,           0.0090514,           0.0090514
                  85,            0.021727,           0.0042114,            0.018114,             0.58458,             0.57181,             0.57988,              0.3114,            0.019809,           0.0032465,            0.015711,             0.00904,             0.00904,             0.00904
                  86,            0.021479,           0.0040674,            0.016104,             0.65206,             0.60969,             0.63473,             0.34672,            0.019358,           0.0030743,            0.014836,           0.0090286,           0.0090286,           0.0090286
                  87,             0.02168,            0.004057,            0.017245,             0.58169,             0.57429,             0.57783,             0.31267,            0.019869,           0.0031587,            0.019128,           0.0090171,           0.0090171,           0.0090171
                  88,            0.022044,           0.0039895,            0.017238,             0.59775,             0.55982,             0.57455,             0.31092,            0.019875,            0.003084,            0.020102,           0.0090057,           0.0090057,           0.0090057
                  89,             0.02182,           0.0040719,            0.017221,             0.53619,             0.56574,             0.54467,              0.2854,            0.020562,           0.0032526,            0.018548,           0.0089943,           0.0089943,           0.0089943
                  90,            0.021678,           0.0039057,            0.017067,             0.60499,             0.58667,             0.60025,             0.32112,            0.019835,           0.0031538,            0.013801,           0.0089829,           0.0089829,           0.0089829
